uniqueid,drugname,condition,rating,date,usefulcount
163740,Mirtazapine,Depression,10,2012-02-28,22
206473,Mesalamine,"Crohn's Disease, Maintenance",8,2009-05-17,17
159672,Bactrim,Urinary Tract Infection,9,2017-09-29,3
39293,Contrave,Weight Loss,9,2017-03-05,35
97768,Cyclafem 1 / 35,Birth Control,9,2015-10-22,4
208087,Zyclara,Keratosis,4,2014-07-03,13
215892,Copper,Birth Control,6,2016-06-06,1
169852,Amitriptyline,Migraine Prevention,9,2009-04-21,32
23295,Methadone,Opiate Withdrawal,7,2016-10-18,21
71428,Levora,Birth Control,2,2011-04-16,3
196802,Paroxetine,Hot Flashes,1,2017-02-22,17
31947,Miconazole,Vaginal Yeast Infection,6,2015-05-07,7
4907,Belviq,Weight Loss,1,2014-09-23,57
66736,Seroquel,Schizoaffective Disorde,10,2014-10-08,19
97013,Ambien,Insomnia,2,2015-01-13,44
213376,Nuvigil,Narcolepsy,9,2010-06-30,14
151674,Chantix,Smoking Cessation,10,2015-02-14,26
33173,Microgestin Fe 1 / 20,Acne,3,2017-06-22,1
30401,Klonopin,Bipolar Disorde,6,2009-07-14,24
152490,Ciprofloxacin,Urinary Tract Infection,10,2010-06-09,9
231397,Trazodone,Insomnia,1,2016-10-18,15
38116,EnteraGam,Irritable Bowel Syndrome,9,2015-01-01,43
102969,Aripiprazole,Bipolar Disorde,1,2010-02-10,27
12626,Cyclosporine,Keratoconjunctivitis Sicca,1,2015-12-31,17
190527,Oxybutynin,Hyperhidrosis,9,2017-05-30,10
229975,Lurasidone,Bipolar Disorde,6,2017-02-11,18
173391,Clonazepam,Panic Disorde,10,2008-04-19,47
35608,Ciclopirox,"Onychomycosis, Fingernail",8,2016-06-02,38
187230,Sodium oxybate,Narcolepsy,10,2013-01-10,19
211675,Lamotrigine,Bipolar Disorde,7,2017-11-22,1
79865,Blisovi Fe 1 / 20,Birth Control,10,2017-11-03,4
27607,Ivermectin,Rosacea,10,2016-04-01,19
207923,Suprep Bowel Prep Kit,Bowel Preparation,8,2015-02-18,15
156919,Movantik,"Constipation, Drug Induced",1,2016-08-26,24
77164,Lorcaserin,,5,2014-05-27,21
101149,Actos,"Diabetes, Type 2",4,2010-06-09,42
178004,Duloxetine,Pain,9,2012-03-27,32
60341,NuvaRing,Birth Control,7,2011-06-17,0
141462,Escitalopram,Depression,9,2014-04-29,32
133539,Tesamorelin,Lipodystrophy,3,2012-01-11,12
191095,Campral,Alcohol Dependence,10,2013-08-23,55
50229,Gabapentin,Bipolar Disorde,8,2014-09-24,75
130301,Levonorgestrel,Emergency Contraception,10,2013-12-28,20
101371,Aubra,Birth Control,1,2015-12-13,6
79569,Plan B One-Step,Emergency Contraception,8,2012-01-19,21
17957,Ethinyl estradiol / etonogestrel,Birth Control,10,2012-12-13,4
219567,Microgestin Fe 1.5 / 30,Birth Control,1,2016-10-31,4
171525,Wellbutrin,Major Depressive Disorde,8,2015-03-06,49
173027,Clonazepam,Anxiety,6,2013-03-24,20
202002,Benzoyl peroxide / clindamycin,Acne,4,2017-01-26,2
143003,Etonogestrel,Birth Control,3,2017-08-15,0
31908,Miconazole,Vaginal Yeast Infection,1,2015-07-23,5
3350,Nitrofurantoin,Bladder Infection,9,2016-01-06,7
226299,Etonogestrel,Birth Control,5,2015-08-28,7
190325,Ortho Tri-Cyclen Lo,Birth Control,9,2013-12-23,7
